player_id,player_name,team,conf,div,Pos,pos_group,No.,Yrs,College,ncaa_conf,GS
AlfoRo00,Robert Alford,ARI,NFC,NFC West,CB,def_backs,23,9,Southeastern Louisiana,FCS,5
AlleZa01,Zach Allen,ARI,NFC,NFC West,DL,def_line,94,3,Boston Col.,ACC,14
BakeBu00,Budda Baker,ARI,NFC,NFC West,FS,def_backs,3,5,Washington,Pac-12,17
BeacKe00,Kelvin Beachum,ARI,NFC,NFC West,T,off_line,68,10,SMU,American,15
CollZa00,Zaven Collins,ARI,NFC,NFC West,LB,def_lbs,25,1,Tulsa,American,6
ConnJa00,James Conner,ARI,NFC,NFC West,RB,off_skill,6,5,Pittsburgh,ACC,6
DaniDa02,Darrell Daniels,ARI,NFC,NFC West,TE,off_skill,81,5,Washington,Pac-12,4
DogbMi00,Michael Dogbe,ARI,NFC,NFC West,DL,def_line,91,3,Temple,American,1
DortGr01,Greg Dortch,ARI,NFC,NFC West,WR,off_skill,83,3,Wake Forest,ACC,2
EdmoCh00,Chase Edmonds,ARI,NFC,NFC West,RB,off_skill,2,4,Fordham,FCS,11
ErtzZa00,Zach Ertz,ARI,NFC,NFC West,TE,off_skill,86,9,Stanford,Pac-12,11
FotuLe00,Leki Fotu,ARI,NFC,NFC West,DL,def_line,95,2,Utah,Pac-12,3
GarcMa00,Max Garcia,ARI,NFC,NFC West,C,off_line,73,7,Florida,SEC,11
GardDe01,Dennis Gardeck,ARI,NFC,NFC West,LB,def_lbs,45,4,Sioux Falls,D2,3
GoldMa00,Markus Golden,ARI,NFC,NFC West,OLB,def_lbs,44,7,Missouri,SEC,5
GreeA.00,A.J. Green,ARI,NFC,NFC West,WR,off_skill,18,11,Georgia,SEC,9
HamiAn01,Antonio Hamilton,ARI,NFC,NFC West,CB,def_backs,33,6,South Carolina St.,FCS,2
HarlSe00,Sean Harlow,ARI,NFC,NFC West,OG,off_line,64,4,Oregon St.,Pac-12,5
HarrDe03,Demetrius Harris,ARI,NFC,NFC West,TE,off_skill,84,9,Wisconsin–Milwaukee,FCS,4
HickJo00,Jordan Hicks,ARI,NFC,NFC West,OLB,def_lbs,58,7,Texas,Big 12,17
HopkDe00,DeAndre Hopkins,ARI,NFC,NFC West,WR,off_skill,10,9,Clemson,ACC,10
HudsRo00,Rodney Hudson,ARI,NFC,NFC West,C,off_line,61,11,Florida St.,ACC,12
HumpD.00,D.J. Humphries,ARI,NFC,NFC West,OT,off_line,74,6,Florida,SEC,16
JoneCh03,Chandler Jones,ARI,NFC,NFC West,DE,def_line,55,10,Syracuse,ACC,15
JoneJo07,Josh Jones,ARI,NFC,NFC West,OL,off_line,79,2,Houston,American,12
KennDe00,Devon Kennard,ARI,NFC,NFC West,OLB,def_lbs,42,8,USC,Pac-12,3
KirkCh01,Christian Kirk,ARI,NFC,NFC West,WR,off_skill,13,4,Texas A&M,SEC,11
LawrRa01,Rashard Lawrence,ARI,NFC,NFC West,DL,def_line,90,2,LSU,SEC,7
LeexAn20,Andy Lee,ARI,NFC,NFC West,P,spec_teams,14,18,Pittsburgh,ACC,0
MaurJo00,Josh Mauro,ARI,NFC,NFC West,DE,def_line,96,8,Stanford,Pac-12,1
McCoCo00,Colt McCoy,ARI,NFC,NFC West,QB,off_skill,12,12,Texas,Big 12,3
MoorRo02,Rondale Moore,ARI,NFC,NFC West,WR,off_skill,4,1,Purdue,Big Ten,7
MurpBy00,Byron Murphy,ARI,NFC,NFC West,CB,def_backs,7,3,Washington,Pac-12,16
MurrJu00,Justin Murray,ARI,NFC,NFC West,T,off_line,71,4,Cincinnati,American,1
MurrKy00,Kyler Murray,ARI,NFC,NFC West,QB,off_skill,1,3,Oklahoma,Big 12,14
PeteCo00,Corey Peters,ARI,NFC,NFC West,DT,def_line,98,12,Kentucky,SEC,11
PeteKe01,Kevin Peterson,ARI,NFC,NFC West,CB,def_backs,27,5,Oklahoma St.,Big 12,2
PhilJo01,Jordan Phillips,ARI,NFC,NFC West,DT,def_line,97,7,Oklahoma,Big 12,8
PratMa20,Matt Prater,ARI,NFC,NFC West,K,spec_teams,5,15,Central Florida,American,0
PughJu00,Justin Pugh,ARI,NFC,NFC West,OG,off_line,67,9,Syracuse,ACC,13
SimmIs00,Isaiah Simmons,ARI,NFC,NFC West,LB,def_lbs,9,2,Clemson,ACC,17
ThomJa04,Jalen Thompson,ARI,NFC,NFC West,FS,def_backs,34,3,Washington St.,Pac-12,12
VallTa00,Tanner Vallejo,ARI,NFC,NFC West,ILB,def_lbs,51,5,Boise St.,Mountain West,2
WattJ.00,J.J. Watt,ARI,NFC,NFC West,DE,def_line,99,11,Wisconsin,Big Ten,7
WellDa00,David Wells,ARI,NFC,NFC West,TE,off_skill,41,1,San Diego St.,Mountain West,1
WeslAn01,Antoine Wesley,ARI,NFC,NFC West,WR,off_skill,84,1,Texas Tech,Big 12,4
WillMa04,Maxx Williams,ARI,NFC,NFC West,TE,off_skill,87,7,Minnesota,Big Ten,5
WilsMa04,Marco Wilson,ARI,NFC,NFC West,CB,def_backs,20,1,Florida,SEC,13
