player_id,player_name,team,conf,div,Pos,pos_group,No.,Yrs,College,ncaa_conf,GS
AndrMa00,Mark Andrews,BAL,AFC,AFC North,TE,off_skill,89,4,Oklahoma,Big 12,9
AverAn00,Anthony Averett,BAL,AFC,AFC North,CB,def_backs,23,4,Alabama,SEC,14
BateRa00,Rashod Bateman,BAL,AFC,AFC North,WR,off_skill,12,1,Minnesota,Big Ten,4
BowsTy00,Tyus Bowser,BAL,AFC,AFC North,OLB,def_lbs,54,5,Houston,American,17
BoylNi00,Nick Boyle,BAL,AFC,AFC North,TE,off_skill,86,7,Delaware,FCS,3
BozeBr00,Bradley Bozeman,BAL,AFC,AFC North,C,off_line,77,4,Alabama,SEC,16
BrowMa04,Marquise Brown,BAL,AFC,AFC North,WR,off_skill,5,3,Oklahoma,Big 12,16
ByneJo00,Josh Bynes,BAL,AFC,AFC North,MLB,def_lbs,56,11,Auburn,SEC,12
CampCa99,Calais Campbell,BAL,AFC,AFC North,DE,def_line,93,14,Miami (FL),ACC,14
ClarCh00,Chuck Clark,BAL,AFC,AFC North,FS,def_backs,36,5,Virginia Tech,ACC,16
ClevBe00,Ben Cleveland,BAL,AFC,AFC North,G,off_line,66,1,Georgia,SEC,4
ColoTr01,Trystan Colon-Castillo,BAL,AFC,AFC North,C,off_line,63,2,Missouri,SEC,1
DuveDe00,Devin Duvernay,BAL,AFC,AFC North,WR,off_skill,13,2,Texas,Big 12,7
ElliDe02,DeShon Elliott,BAL,AFC,AFC North,SS,def_backs,32,4,Texas,Big 12,6
ElliJu01,Justin Ellis,BAL,AFC,AFC North,DT,def_line,71,8,Louisiana Tech,C-USA,5
FreeDe00,Devonta Freeman,BAL,AFC,AFC North,RB,off_skill,33,8,Florida St.,ACC,8
HarrMa06,Malik Harrison,BAL,AFC,AFC North,LB,def_lbs,40,2,Ohio St.,Big Ten,5
HousJu00,Justin Houston,BAL,AFC,AFC North,LOLB,def_lbs,50,11,Georgia,SEC,15
HumpMa00,Marlon Humphrey,BAL,AFC,AFC North,CB,def_backs,44,5,Alabama,SEC,12
HuntTy01,Tyler Huntley,BAL,AFC,AFC North,QB,off_skill,2,2,Utah,Pac-12,4
JackLa00,Lamar Jackson,BAL,AFC,AFC North,QB,off_skill,8,4,Louisville,ACC,12
JohnJo05,Josh Johnson,BAL,AFC,AFC North,QB,off_skill,15,14,San Diego,FCS,1
KochSa20,Sam Koch,BAL,AFC,AFC North,P,spec_teams,4,16,Nebraska,Big Ten,0
LeviAn00,Anthony Levine,BAL,AFC,AFC North,S,def_backs,41,11,Tennessee St.,FCS,1
MaduJu00,Justin Madubuike,BAL,AFC,AFC North,DL,def_line,92,2,Texas A&M,SEC,11
MekaPa00,Patrick Mekari,BAL,AFC,AFC North,G,off_line,65,3,California,Pac-12,12
MurrLa00,Latavius Murray,BAL,AFC,AFC North,RB,off_skill,28,9,Central Florida,American,6
OlivJo00,Josh Oliver,BAL,AFC,AFC North,TE,off_skill,84,3,San Jose St.,Mountain West,1
OwehJa00,Odafe Oweh,BAL,AFC,AFC North,OLB,def_lbs,99,1,Penn St.,Big Ten,2
PhilTy00,Tyre Phillips,BAL,AFC,AFC North,OL,off_line,74,2,Mississippi St.,SEC,5
PoweBe00,Ben Powers,BAL,AFC,AFC North,OL,off_line,72,3,Oklahoma,Big 12,12
QueePa00,Patrick Queen,BAL,AFC,AFC North,LB,def_lbs,6,2,LSU,SEC,17
RicaPa00,Patrick Ricard,BAL,AFC,AFC North,FB,off_skill,42,5,Maine,FCS,11
SeymKe00,Kevon Seymour,BAL,AFC,AFC North,CB,def_backs,38,6,USC,Pac-12,2
SmitJi03,Jimmy Smith,BAL,AFC,AFC North,CB,def_backs,22,11,Colorado,Pac-12,2
StanRo00,Ronnie Stanley,BAL,AFC,AFC North,OT,off_line,79,6,Notre Dame,Independent,1
StepBr01,Brandon Stephens,BAL,AFC,AFC North,CB,def_backs,21,1,SMU,American,11
StonGe00,Geno Stone,BAL,AFC,AFC North,S,def_backs,26,2,Iowa,Big Ten,1
TomlEr01,Eric Tomlinson,BAL,AFC,AFC North,TE,off_skill,85,6,Texas-El Paso,C-USA,7
TuckJu00,Justin Tucker,BAL,AFC,AFC North,K,spec_teams,9,10,Texas,Big 12,0
VillAl00,Alejandro Villanueva,BAL,AFC,AFC North,T,off_line,78,8,Army,Independent,17
WallTy00,Tylan Wallace,BAL,AFC,AFC North,WR,off_skill,16,1,Oklahoma St.,Big 12,1
WashBr01,Broderick Washington Jr.,BAL,AFC,AFC North,DL,def_line,96,2,Texas Tech,Big 12,2
WatkSa00,Sammy Watkins,BAL,AFC,AFC North,WR,off_skill,14,8,Clemson,ACC,9
WestCh03,Chris Westry,BAL,AFC,AFC North,CB,def_backs,30,2,Kentucky,SEC,2
WillBr02,Brandon Williams,BAL,AFC,AFC North,DT,def_line,98,9,Missouri Southern,D2,13
WillTy01,Ty'Son Williams,BAL,AFC,AFC North,RB,off_skill,34,1,BYU,Independent,3
YounTa01,Tavon Young,BAL,AFC,AFC North,CB,def_backs,25,6,Temple,American,7
ZeitKe00,Kevin Zeitler,BAL,AFC,AFC North,G,off_line,70,10,Wisconsin,Big Ten,17
