player_id,player_name,team,conf,div,Pos,pos_group,No.,Yrs,College,ncaa_conf,GS
AkinJo00,Jordan Akins,HOU,AFC,AFC South,TE,off_skill,88,4,Central Florida,American,3
AuclAn00,Antony Auclair,HOU,AFC,AFC South,TE,off_skill,83,5,Laval,Canada,13
BlacRo00,Ross Blacklock,HOU,AFC,AFC South,DL,def_line,90,2,TCU,Big 12,2
BritJu00,Justin Britt,HOU,AFC,AFC South,OT,off_line,68,8,Missouri,SEC,11
BrooTe00,Terrence Brooks,HOU,AFC,AFC South,FS,def_backs,29,8,Florida St.,ACC,3
BrowPh01,Pharaoh Brown,HOU,AFC,AFC South,TE,off_skill,85,5,Oregon,Pac-12,12
BurkRe00,Rex Burkhead,HOU,AFC,AFC South,RB,off_skill,28,9,Nebraska,Big Ten,5
CampJa03,Jalen Camp,HOU,AFC,AFC South,WR,off_skill,17,1,Georgia Tech,ACC,1
CannMa00,Marcus Cannon,HOU,AFC,AFC South,OL,off_line,61,11,TCU,Big 12,4
ChriGe01,Geron Christian,HOU,AFC,AFC South,OT,off_line,72,4,Louisville,ACC,8
CollMa00,Maliek Collins,HOU,AFC,AFC South,DT,def_line,97,6,Nebraska,Big Ten,15
CollNi00,Nico Collins,HOU,AFC,AFC South,WR,off_skill,12,1,Michigan,Big Ten,8
ConlCh00,Chris Conley,HOU,AFC,AFC South,WR,off_skill,18,7,Georgia,SEC,10
CookBr00,Brandin Cooks,HOU,AFC,AFC South,WR,off_skill,13,8,Oregon St.,Pac-12,16
DaviDa03,Davion Davis,HOU,AFC,AFC South,WR,off_skill,81,3,Sam Houston St.,FCS,1
DwumMi00,Michael Dwumfour,HOU,AFC,AFC South,DL,def_line,98,1,Rutgers,Big Ten,1
FairKa01,Ka'imi Fairbairn,HOU,AFC,AFC South,K,spec_teams,7,5,UCLA,Pac-12,0
GreeJo04,Jonathan Greenard,HOU,AFC,AFC South,DL,def_line,52,2,Florida,SEC,12
GrugKa00,Kamu Grugier-Hill,HOU,AFC,AFC South,OLB,def_lbs,51,6,Eastern Illinois,FCS,14
HarrDe06,Demone Harris,HOU,AFC,AFC South,DE,def_line,94,4,Buffalo,MAC,1
HeckCh00,Charlie Heck,HOU,AFC,AFC South,OL,off_line,67,2,North Carolina,ACC,13
