player_id,player_name,team,conf,div,Pos,pos_group,No.,Yrs,College,ncaa_conf,GS
AddaJa00,Jahleel Addae,IND,AFC,AFC South,S,def_backs,41,9,Central Michigan,MAC,1
AlieMo00,Mo Alie-Cox,IND,AFC,AFC South,TE,off_skill,81,4,Virginia Commonwealth,FCS,7
BadgMi00,Michael Badgley,IND,AFC,AFC South,K,spec_teams,6,4,Miami (FL),ACC,0
BlacJu01,Julian Blackmon,IND,AFC,AFC South,S,def_backs,32,2,Utah,Pac-12,6
BuckDe00,DeForest Buckner,IND,AFC,AFC South,DT,def_line,99,6,Oregon,Pac-12,16
CampPa00,Parris Campbell,IND,AFC,AFC South,WR,off_skill,1,3,Ohio St.,Big Ten,3
CarrTr00,T.J. Carrie,IND,AFC,AFC South,CB,def_backs,38,8,Ohio,MAC,1
DaveJu00,Julie'n Davenport,IND,AFC,AFC South,OT,off_line,73,5,Bucknell,FCS,4
DoylJa00,Jack Doyle,IND,AFC,AFC South,TE,off_skill,84,9,Western Kentucky,C-USA,14
DuliAs00,Ashton Dulin,IND,AFC,AFC South,WR,off_skill,16,3,Malone,D2,1
FishEr00,Eric Fisher,IND,AFC,AFC South,OT,off_line,79,9,Central Michigan,MAC,15
FranZa00,Zaire Franklin,IND,AFC,AFC South,LB,def_lbs,44,4,Syracuse,ACC,11
GlowMa00,Mark Glowinski,IND,AFC,AFC South,OG,off_line,64,7,West Virginia,Big 12,14
HiltT.00,T.Y. Hilton,IND,AFC,AFC South,WR,off_skill,13,10,Florida International,C-USA,9
HineNy00,Nyheim Hines,IND,AFC,AFC South,RB,off_skill,21,4,North Carolina St.,ACC,4
KellRy00,Ryan Kelly,IND,AFC,AFC South,C,off_line,78,6,Alabama,SEC,14
LeonDa00,Darius Leonard,IND,AFC,AFC South,LB,def_lbs,53,4,South Carolina St.,FCS,16
LewiTy00,Tyquan Lewis,IND,AFC,AFC South,DE,def_line,94,4,Ohio St.,Big Ten,2
MoorKe03,Kenny Moore,IND,AFC,AFC South,CB,def_backs,23,5,Valdosta St.,D2,16
MoorSk00,Skai Moore,IND,AFC,AFC South,OLB,def_lbs,55,4,South Carolina,SEC,1
MuhaAl00,Al-Quadin Muhammad,IND,AFC,AFC South,DE,def_line,97,5,Miami (FL),ACC,17
NelsQu00,Quenton Nelson,IND,AFC,AFC South,OG,off_line,56,4,Notre Dame,Independent,13
OdumGe00,George Odum,IND,AFC,AFC South,S,def_backs,30,4,Central Arkansas,FCS,7
OkerBo00,Bobby Okereke,IND,AFC,AFC South,LB,def_lbs,58,3,Stanford,Pac-12,17
PascZa00,Zach Pascal,IND,AFC,AFC South,WR,off_skill,14,4,Old Dominion,C-USA,13
PayeKw00,Kwity Paye,IND,AFC,AFC South,DE,def_line,51,1,Michigan,Big Ten,15
PintDa00,Danny Pinter,IND,AFC,AFC South,OL,off_line,63,2,Ball St.,MAC,3
PittMi01,Michael Pittman Jr.,IND,AFC,AFC South,WR,off_skill,11,2,USC,Pac-12,17
PryoMa00,Matt Pryor,IND,AFC,AFC South,OT,off_line,69,4,TCU,Big 12,5
ReedCh00,Chris Reed,IND,AFC,AFC South,G,off_line,62,6,Minnesota St.,D2,6
RhodXa00,Xavier Rhodes,IND,AFC,AFC South,CB,def_backs,27,9,Florida St.,ACC,13
RodgIs00,Isaiah Rodgers,IND,AFC,AFC South,CB,def_backs,34,2,Massachusetts,Independent,1
SancRi00,Rigoberto Sanchez,IND,AFC,AFC South,P,spec_teams,8,5,Hawaii,Mountain West,0
SendAn00,Andrew Sendejo,IND,AFC,AFC South,DB,def_backs,42,12,Rice,C-USA,10
SmitBr06,Braden Smith,IND,AFC,AFC South,OG,off_line,72,4,Auburn,SEC,11
SpeeEJ00,E.J. Speed,IND,AFC,AFC South,LB,def_lbs,45,3,Tarleton St.,FCS,1
StalTa00,Taylor Stallworth,IND,AFC,AFC South,DT,def_line,95,4,South Carolina,SEC,1
StewGr00,Grover Stewart,IND,AFC,AFC South,DT,def_line,90,5,Albany State (GA),D2,17
TaylJo02,Jonathan Taylor,IND,AFC,AFC South,RB,off_skill,28,2,Wisconsin,Big Ten,17
WentCa00,Carson Wentz,IND,AFC,AFC South,QB,off_skill,2,6,North Dakota St.,FCS,17
WillKh00,Khari Willis,IND,AFC,AFC South,S,def_backs,37,3,Michigan St.,Big Ten,10
Ya-SRo00,Rock Ya-Sin,IND,AFC,AFC South,CB,def_backs,26,3,Temple,American,8
