player_id,player_name,team,conf,div,Pos,pos_group,No.,Yrs,College,ncaa_conf,GS
AgneJa00,Jamal Agnew,JAX,AFC,AFC South,WR,off_skill,39,5,San Diego,FCS,2
AlleDa01,Dakota Allen,JAX,AFC,AFC South,LB,def_lbs,53,3,Texas Tech,Big 12,1
AlleJo03,Josh Allen,JAX,AFC,AFC South,EDGE,def_line,41,3,Kentucky,SEC,15
ArnoDa00,Dan Arnold,JAX,AFC,AFC South,WR,off_skill,85,4,Wisconsin–Platteville,D3,3
AustTa00,Tavon Austin,JAX,AFC,AFC South,WR,off_skill,7,9,West Virginia,Big 12,3
BartBe00,Ben Bartch,JAX,AFC,AFC South,OL,off_line,78,2,Saint John's (MN),D3,11
BrowMa01,Malcom Brown,JAX,AFC,AFC South,DT,def_line,90,7,Texas,Big 12,17
CampTy01,Tyson Campbell,JAX,AFC,AFC South,CB,def_backs,32,1,Georgia,SEC,14
CannA.00,A.J. Cann,JAX,AFC,AFC South,OG,off_line,60,7,South Carolina,SEC,4
ChaiKL00,K'Lavon Chaisson,JAX,AFC,AFC South,LB,def_lbs,45,2,LSU,SEC,8
CharDJ00,DJ Chark,JAX,AFC,AFC South,WR,off_skill,17,4,LSU,SEC,4
CiscAn00,Andre Cisco,JAX,AFC,AFC South,S,def_backs,38,1,Syracuse,ACC,3
ClayCh02,Chris Claybrooks,JAX,AFC,AFC South,CB,def_backs,27,2,Memphis,American,2
CookLo00,Logan Cooke,JAX,AFC,AFC South,P,spec_teams,9,4,Mississippi St.,SEC,0
FarrLu00,Luke Farrell,JAX,AFC,AFC South,TE,off_skill,89,1,Ohio St.,Big Ten,4
FordRu00,Rudy Ford,JAX,AFC,AFC South,FS,def_backs,5,5,Auburn,SEC,4
GotsAd00,Adam Gotsis,JAX,AFC,AFC South,DT,def_line,96,6,Georgia Tech,ACC,4
GrifSh00,Shaquill Griffin,JAX,AFC,AFC South,DB,def_backs,26,5,Central Florida,American,14
HamiDa02,DaVon Hamilton,JAX,AFC,AFC South,DL,def_line,52,2,Ohio St.,Big Ten,8
HernTr00,Tre Herndon,JAX,AFC,AFC South,CB,def_backs,37,4,Vanderbilt,SEC,3
HollJa03,Jacob Hollister,JAX,AFC,AFC South,TE,off_skill,86,5,Wyoming,Mountain West,2
HydeCa00,Carlos Hyde,JAX,AFC,AFC South,RB,off_skill,24,8,Ohio St.,Big Ten,2
JackMy00,Myles Jack,JAX,AFC,AFC South,OLB,def_lbs,44,6,UCLA,Pac-12,15
JenkRa00,Rayshawn Jenkins,JAX,AFC,AFC South,FS,def_backs,2,5,Miami (FL),ACC,14
JoneMa02,Marvin Jones,JAX,AFC,AFC South,WR,off_skill,11,10,California,Pac-12,16
LawrTr00,Trevor Lawrence,JAX,AFC,AFC South,QB,off_skill,16,1,Clemson,ACC,17
LawsNe00,Nevin Lawson,JAX,AFC,AFC South,CB,def_backs,21,8,Utah St.,Mountain West,4
LindBr00,Brandon Linder,JAX,AFC,AFC South,OG,off_line,65,8,Miami (FL),ACC,9
LittWa00,Walker Little,JAX,AFC,AFC South,OT,off_line,72,1,Stanford,Pac-12,3
ManhCh00,Chris Manhertz,JAX,AFC,AFC South,TE,off_skill,84,8,Canisius,FCS,10
McDeKC01,KC McDermott,JAX,AFC,AFC South,OL,off_line,62,2,Miami (FL),ACC,1
NorwAn01,Andrew Norwell,JAX,AFC,AFC South,G,off_line,68,8,Ohio St.,Big Ten,17
O'ShJa00,James O'Shaughnessy,JAX,AFC,AFC South,TE,off_skill,80,7,Illinois St.,FCS,6
OgunDa00,Dare Ogunbowale,JAX,AFC,AFC South,RB,off_skill,33,5,Wisconsin,Big Ten,2
RichWi01,Will Richardson,JAX,AFC,AFC South,OT,off_line,76,4,North Carolina St.,ACC,2
RobeRo00,Roy Robertson-Harris,JAX,AFC,AFC South,DE,def_line,95,5,Texas-El Paso,C-USA,13
RobiCa00,Cam Robinson,JAX,AFC,AFC South,OT,off_line,74,5,Alabama,SEC,14
RobiJa00,James Robinson,JAX,AFC,AFC South,RB,off_skill,25,2,Illinois St.,FCS,13
RussCh00,Chapelle Russell,JAX,AFC,AFC South,LB,def_lbs,49,2,Temple,American,1
ShatTy00,Tyler Shatley,JAX,AFC,AFC South,OG,off_line,69,8,Clemson,ACC,8
ShenLa00,Laviska Shenault Jr.,JAX,AFC,AFC South,WR,off_skill,10,2,Colorado,Pac-12,10
SmooDa00,Dawuane Smoot,JAX,AFC,AFC South,DE,def_line,91,5,Illinois,Big Ten,10
TaylJa02,Jawaan Taylor,JAX,AFC,AFC South,OL,off_line,75,3,Florida,SEC,17
ThomDa07,Daniel Thomas,JAX,AFC,AFC South,S,def_backs,20,2,Auburn,SEC,2
TreaLa00,Laquon Treadwell,JAX,AFC,AFC South,WR,off_skill,18,6,Mississippi,SEC,7
WardJi02,Jihad Ward,JAX,AFC,AFC South,DE,def_line,59,6,Illinois,Big Ten,1
WilsDa02,Damien Wilson,JAX,AFC,AFC South,ILB,def_lbs,54,7,Minnesota,Big Ten,17
WingAn01,Andrew Wingard,JAX,AFC,AFC South,S,def_backs,42,3,Wyoming,Mountain West,15
WrigMa00,Matthew Wright,JAX,AFC,AFC South,K,spec_teams,15,2,Central Florida,American,0
