player_id,player_name,team,conf,div,Pos,pos_group,No.,Yrs,College,ncaa_conf,GS
AdebPa00,Paulson Adebo,NO,NFC,NFC South,CB,def_backs,29,1,Stanford,Pac-12,17
AlexKw00,Kwon Alexander,NO,NFC,NFC South,OLB,def_lbs,5,7,LSU,SEC,8
ArmaAl00,Alex Armah,NO,NFC,NFC South,FB,off_skill,40,5,West Georgia,D2,2
ArmsTe00,Terron Armstead,NO,NFC,NFC South,OT,off_line,72,9,Ark-Pine Bluff,FCS,8
BaunZa00,Zack Baun,NO,NFC,NFC South,LB,def_lbs,53,2,Wisconsin,Big Ten,4
BeneCa00,Caleb Benenoch,NO,NFC,NFC South,OT,off_line,65,6,UCLA,Pac-12,1
BookIa00,Ian Book,NO,NFC,NFC South,QB,off_skill,16,1,Notre Dame,Independent,1
CallMa01,Marquez Callaway,NO,NFC,NFC South,WR,off_skill,1,2,Tennessee,SEC,11
CarpJa00,James Carpenter,NO,NFC,NFC South,LG,off_line,77,11,Alabama,SEC,1
ClapWi00,Will Clapp,NO,NFC,NFC South,C,off_line,64,4,LSU,SEC,3
DaveMa00,Marcus Davenport,NO,NFC,NFC South,DE,def_line,92,4,Texas-San Antonio,C-USA,9
DaviDe00,Demario Davis,NO,NFC,NFC South,OLB,def_lbs,56,10,Arkansas St.,Sun Belt,16
ElliKa00,Kaden Elliss,NO,NFC,NFC South,LB,def_lbs,55,3,Idaho,FCS,1
GardCh00,Chauncey Gardner-Johnson,NO,NFC,NFC South,S,def_backs,22,3,Florida,SEC,11
GillBl00,Blake Gillikin,NO,NFC,NFC South,P,spec_teams,4,1,Penn St.,Big Ten,0
GranCa01,Carl Granderson,NO,NFC,NFC South,DE,def_line,96,3,Wyoming,Mountain West,3
GrifGa00,Garrett Griffin,NO,NFC,NFC South,TE,off_skill,45,5,Air Force,Mountain West,6
HarrDe07,Deonte Harris,NO,NFC,NFC South,WR,off_skill,11,3,Assumption,D2,1
HillTa00,Taysom Hill,NO,NFC,NFC South,QB,off_skill,7,5,BYU,Independent,9
HogaCh00,Chris Hogan,NO,NFC,NFC South,WR,off_skill,80,11,Monmouth,FCS,1
HolmJa01,Jalyn Holmes,NO,NFC,NFC South,DE,def_line,57,4,Ohio St.,Big Ten,1
HuggAl01,Albert Huggins,NO,NFC,NFC South,DL,def_line,60,3,Clemson,ACC,1
HumpLi01,Lil'Jordan Humphrey,NO,NFC,NFC South,WR,off_skill,84,3,Texas,Big 12,4
