player_id,player_name,team,conf,div,Pos,pos_group,No.,Yrs,College,ncaa_conf,GS
AmmeMa00,Matt Ammendola,NYJ,AFC,AFC East,K,spec_teams,6,1,Oklahoma St.,Big 12,0
BawdNi00,Nick Bawden,NYJ,AFC,AFC East,RB,off_skill,48,4,San Diego St.,Mountain West,1
BectMe00,Mekhi Becton,NYJ,AFC,AFC East,OL,off_line,77,2,Louisville,ACC,1
BerrBr00,Braxton Berrios,NYJ,AFC,AFC East,WR,off_skill,10,4,Miami (FL),ACC,1
BlaiRo00,Ronald Blair,NYJ,AFC,AFC East,DE,def_line,54,6,Appalachian St.,Sun Belt,3
CartMi02,Michael Carter,NYJ,AFC,AFC East,CB,def_backs,30,1,Duke,ACC,7
CartMi03,Michael Carter,NYJ,AFC,AFC East,RB,off_skill,32,1,North Carolina,ACC,11
CashBl00,Blake Cashman,NYJ,AFC,AFC East,LB,def_lbs,53,3,Minnesota,Big Ten,1
ColbAd00,Adrian Colbert,NYJ,AFC,AFC East,SS,def_backs,33,5,Miami (FL),ACC,3
ColeKe00,Keelan Cole,NYJ,AFC,AFC East,WR,off_skill,88,5,Kentucky Wesleyan,D2,11
ColeTe01,Tevin Coleman,NYJ,AFC,AFC East,RB,off_skill,23,7,Indiana,Big Ten,5
CrowJa00,Jamison Crowder,NYJ,AFC,AFC East,WR,off_skill,82,7,Duke,ACC,4
DaviAs00,Ashtyn Davis,NYJ,AFC,AFC East,S,def_backs,21,2,California,Pac-12,10
DaviCo03,Corey Davis,NYJ,AFC,AFC East,WR,off_skill,84,5,Western Michigan,MAC,9
DaviJa01,Jarrad Davis,NYJ,AFC,AFC East,ILB,def_lbs,52,5,Florida,SEC,5
DunnIs00,Isaiah Dunn,NYJ,AFC,AFC East,DB,def_backs,27,1,Oregon St.,Pac-12,1
DuveLa00,Laurent Duvernay-Tardif,NYJ,AFC,AFC East,OT,off_line,72,8,McGill,Canada,7
EchoBr00,Brandin Echols,NYJ,AFC,AFC East,CB,def_backs,25,1,Kentucky,SEC,14
FantGe00,George Fant,NYJ,AFC,AFC East,T,off_line,76,6,Western Kentucky,C-USA,15
FatuFo00,Folorunso Fatukasi,NYJ,AFC,AFC East,DT,def_line,94,4,Connecticut,Independent,15
FeenDa00,Dan Feeney,NYJ,AFC,AFC East,OG,off_line,67,5,Indiana,Big Ten,5
FlacJo00,Joe Flacco,NYJ,AFC,AFC East,QB,off_skill,19,14,Delaware,FCS,1
FranJo02,John Franklin-Myers,NYJ,AFC,AFC East,DE,def_line,91,4,S.F. Austin,FCS,16
GrifRy00,Ryan Griffin,NYJ,AFC,AFC East,TE,off_skill,86,9,Connecticut,Independent,12
