player_id,player_name,team,conf,div,Pos,pos_group,No.,Yrs,College,ncaa_conf,GS
AndeJa01,Jack Anderson,PHI,NFC,NFC East,G,off_line,76,1,Texas Tech,Big 12,1
ArceJJ00,JJ Arcega-Whiteside,PHI,NFC,NFC East,WR,off_skill,19,3,Stanford,Pac-12,2
AverGe00,Genard Avery,PHI,NFC,NFC East,LB,def_lbs,58,4,Memphis,American,12
BarnDe01,Derek Barnett,PHI,NFC,NFC East,DE,def_line,96,5,Tennessee,SEC,15
BradSh00,Shaun Bradley,PHI,NFC,NFC East,LB,def_lbs,54,2,Temple,American,1
BrooBr00,Brandon Brooks,PHI,NFC,NFC East,G,off_line,79,10,Miami (OH),MAC,2
ChacAn00,Andre Chachere,PHI,NFC,NFC East,CB,def_backs,21,1,San Jose St.,Mountain West,1
ClarLe01,Le'Raven Clark,PHI,NFC,NFC East,OT,off_line,74,6,Texas Tech,Big 12,1
CoxxFl00,Fletcher Cox,PHI,NFC,NFC East,DT,def_line,91,10,Mississippi St.,SEC,16
DickLa00,Landon Dickerson,PHI,NFC,NFC East,OL,off_line,51,1,Alabama,SEC,13
DillAn00,Andre Dillard,PHI,NFC,NFC East,OL,off_line,77,3,Washington St.,Pac-12,5
DrisJa00,Jack Driscoll,PHI,NFC,NFC East,OL,off_line,63,2,Auburn,SEC,9
EdwaTJ02,T.J. Edwards,PHI,NFC,NFC East,LB,def_lbs,57,3,Wisconsin,Big Ten,14
ElliJa03,Jake Elliott,PHI,NFC,NFC East,K,spec_teams,4,5,Memphis,American,0
EppsMa00,Marcus Epps,PHI,NFC,NFC East,S,def_backs,22,3,Wyoming,Mountain West,3
GainKe00,Kenneth Gainwell,PHI,NFC,NFC East,RB,off_skill,14,1,Memphis,American,1
GoedDa00,Dallas Goedert,PHI,NFC,NFC East,TE,off_skill,88,4,South Dakota St.,FCS,14
GrahBr99,Brandon Graham,PHI,NFC,NFC East,DE,def_line,55,12,Michigan,Big Ten,2
