player_id,player_name,team,conf,div,Pos,pos_group,No.,Yrs,College,ncaa_conf,GS
BakeBu00,Budda Baker,ARI,NFC,NFC West,FS,def_backs,3,5,Washington,Pac-12,17
CollZa00,Zaven Collins,ARI,NFC,NFC West,LB,def_lbs,25,1,Tulsa,American,6
ConnJa00,James Conner,ARI,NFC,NFC West,RB,off_skill,6,5,Pittsburgh,ACC,6
EdmoCh00,Chase Edmonds,ARI,NFC,NFC West,RB,off_skill,2,4,Fordham,FCS,11
ErtzZa00,Zach Ertz,ARI,NFC,NFC West,TE,off_skill,86,9,Stanford,Pac-12,11
GreeA.00,A.J. Green,ARI,NFC,NFC West,WR,off_skill,18,11,Georgia,SEC,9
HopkDe00,DeAndre Hopkins,ARI,NFC,NFC West,WR,off_skill,10,9,Clemson,ACC,10
HudsRo00,Rodney Hudson,ARI,NFC,NFC West,C,off_line,61,11,Florida St.,ACC,12
JoneCh03,Chandler Jones,ARI,NFC,NFC West,DE,def_line,55,10,Syracuse,ACC,15
KirkCh01,Christian Kirk,ARI,NFC,NFC West,WR,off_skill,13,4,Texas A&M,SEC,11
LeexAn20,Andy Lee,ARI,NFC,NFC West,P,spec_teams,14,18,Pittsburgh,ACC,0
McCoCo00,Colt McCoy,ARI,NFC,NFC West,QB,off_skill,12,12,Texas,Big 12,3
MurrKy00,Kyler Murray,ARI,NFC,NFC West,QB,off_skill,1,3,Oklahoma,Big 12,14
PratMa20,Matt Prater,ARI,NFC,NFC West,K,spec_teams,5,15,Central Florida,American,0
PughJu00,Justin Pugh,ARI,NFC,NFC West,OG,off_line,67,9,Syracuse,ACC,13
SimmIs00,Isaiah Simmons,ARI,NFC,NFC West,LB,def_lbs,9,2,Clemson,ACC,17
WattJ.00,J.J. Watt,ARI,NFC,NFC West,DE,def_line,99,11,Wisconsin,Big Ten,7
GageRu00,Russell Gage,ATL,NFC,NFC South,WR,off_skill,14,4,LSU,SEC,9
HursHa00,Hayden Hurst,ATL,NFC,NFC South,TE,off_skill,81,4,South Carolina,SEC,5
JoneDe01,Deion Jones,ATL,NFC,NFC South,OLB,def_lbs,45,6,LSU,SEC,16
KooxYo00,Younghoe Koo,ATL,NFC,NFC South,K,spec_teams,7,5,Georgia Southern,Sun Belt,0
MattJa00,Jake Matthews,ATL,NFC,NFC South,OT,off_line,70,8,Texas A&M,SEC,17
MoreFa00,Fabian Moreau,ATL,NFC,NFC South,CB,def_backs,22,5,UCLA,Pac-12,16
PattCo00,Cordarrelle Patterson,ATL,NFC,NFC South,WR,off_skill,84,9,Tennessee,SEC,13
PittKy00,Kyle Pitts,ATL,NFC,NFC South,TE,off_skill,8,1,Florida,SEC,15
RidlCa00,Calvin Ridley,ATL,NFC,NFC South,WR,off_skill,18,4,Alabama,SEC,5
RyanMa00,Matt Ryan,ATL,NFC,NFC South,QB,off_skill,2,14,Boston Col.,ACC,17
AndrMa00,Mark Andrews,BAL,AFC,AFC North,TE,off_skill,89,4,Oklahoma,Big 12,9
BateRa00,Rashod Bateman,BAL,AFC,AFC North,WR,off_skill,12,1,Minnesota,Big Ten,4
BowsTy00,Tyus Bowser,BAL,AFC,AFC North,OLB,def_lbs,54,5,Houston,American,17
BrowMa04,Marquise Brown,BAL,AFC,AFC North,WR,off_skill,5,3,Oklahoma,Big 12,16
CampCa99,Calais Campbell,BAL,AFC,AFC North,DE,def_line,93,14,Miami (FL),ACC,14
ClarCh00,Chuck Clark,BAL,AFC,AFC North,FS,def_backs,36,5,Virginia Tech,ACC,16
FreeDe00,Devonta Freeman,BAL,AFC,AFC North,RB,off_skill,33,8,Florida St.,ACC,8
HumpMa00,Marlon Humphrey,BAL,AFC,AFC North,CB,def_backs,44,5,Alabama,SEC,12
HuntTy01,Tyler Huntley,BAL,AFC,AFC North,QB,off_skill,2,2,Utah,Pac-12,4
JackLa00,Lamar Jackson,BAL,AFC,AFC North,QB,off_skill,8,4,Louisville,ACC,12
KochSa20,Sam Koch,BAL,AFC,AFC North,P,spec_teams,4,16,Nebraska,Big Ten,0
MekaPa00,Patrick Mekari,BAL,AFC,AFC North,G,off_line,65,3,California,Pac-12,12
MurrLa00,Latavius Murray,BAL,AFC,AFC North,RB,off_skill,28,9,Central Florida,American,6
OwehJa00,Odafe Oweh,BAL,AFC,AFC North,OLB,def_lbs,99,1,Penn St.,Big Ten,2
QueePa00,Patrick Queen,BAL,AFC,AFC North,LB,def_lbs,6,2,LSU,SEC,17
RicaPa00,Patrick Ricard,BAL,AFC,AFC North,FB,off_skill,42,5,Maine,FCS,11
SmitJi03,Jimmy Smith,BAL,AFC,AFC North,CB,def_backs,22,11,Colorado,Pac-12,2
